name,dR1,Areq,sign_pred,sign_true,correct,dchi2_rule,dchi2_oracle
UGCA444,-0.00063,-2.0,-1,-1,1,-0.0,-0.0
KK98-251,-0.006957,-2.0,-1,-1,1,-2.19,-2.19
DDO064,-0.023734,1.2625,1,1,1,-0.12,-0.12
UGCA442,-0.041966,1.9625,1,1,1,-24.75,-24.75
DDO168,-0.047643,-0.925,-1,-1,1,-3.01,-3.01
D631-7,-0.055126,0.0875,1,1,1,-0.04,-0.04
UGC01281,-0.062999,0.725,1,1,1,-0.8,-0.8
UGC07603,-0.070872,1.8125,1,1,1,-17.19,-17.19
UGC05721,-0.07629,1.375,-1,1,0,0.0,-20.19
NGC2915,-0.085828,0.5125,1,1,1,-4.09,-4.09
DDO161,-0.102308,-1.1875,-1,-1,1,-332.36,-332.36
UGC08286,-0.102308,0.0125,-1,1,0,0.0,-0.01
UGC06818,-0.10891,-0.5625,1,-1,0,0.0,-0.93
UGC04499,-0.115865,-0.4,1,-1,0,0.0,-2.96
F571-V1,-0.145453,0.275,-1,1,0,0.0,-0.53
F583-1,-0.156533,1.0,1,1,1,-17.6,-17.6
NGC3109,-0.171273,1.775,1,1,1,-117.41,-117.41
UGC06399,-0.182327,0.275,1,1,1,-1.45,-1.45
UGC05005,-0.189697,0.15,1,1,1,-0.18,-0.18
NGC0300,-0.193156,1.6875,1,1,1,-274.39,-274.39
NGC2976,-0.193156,2.5625,1,1,1,-22.47,-22.47
UGC04278,-0.202956,1.5625,1,1,1,-56.34,-56.34
IC2574,-0.215908,3.375,1,1,1,-1800.37,-1800.37
NGC0100,-0.215908,0.1625,1,1,1,-1.25,-1.25
NGC5585,-0.232569,0.8875,1,1,1,-294.23,-294.23
UGC00128,-0.17177,0.35,1,1,1,-696.89,-696.89
ESO116-G012,-0.157469,1.975,1,1,1,-293.97,-293.97
NGC4085,-0.150318,0.0875,1,1,1,-0.04,-0.04
NGC3972,-0.113254,0.9,-1,1,0,0.0,-7.49
NGC1003,-0.108888,-0.125,-1,-1,1,-4.38,-4.38
NGC4010,-0.104522,0.5,-1,1,0,0.0,-2.15
NGC3877,-0.068609,-0.6,-1,-1,1,-3.36,-3.36
UGC05986,-0.065717,4.0,-1,1,0,0.0,-453.22
NGC1090,-0.059933,-1.0,-1,-1,1,-72.2,-72.2
NGC3917,-0.045572,2.6875,-1,1,0,0.0,-18.5
F571-8,0.002686,-2.0,-1,-1,1,-0.31,-0.31
ESO079-G014,0.023492,-2.0,-1,-1,1,-31.48,-31.48
ESO563-G021,0.019122,4.0,1,1,1,-34.72,-34.72
