name,A_true,A_pred_hybrid_loo,delta_pred_minus_true,abs_delta_pred_minus_true,sign_true,sign_pred,sign_match,branch_pred,interior_active,at_lower_bound,at_upper_bound,Type,logL36,L36,Dist,logMHI,MHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1
UGCA444,-2.000000000000002,-1.6294286731373044,0.3705713268626978,0.3705713268626978,-1,-1,1,neg,0,0,1,10.0,-1.9208187539523751,0.012,0.98,-1.1739251972991736,0.067,2.08,37.0,2.0,36.0,0.3621621621621621,-0.0006297790889632219
KK98-251,-2.0000000000000067,-0.8511534196090857,1.148846580390921,1.148846580390921,-1,-1,1,neg,0,0,1,10.0,-1.0705810742857071,0.085,6.8,-0.9393021596463883,0.115,2.9,33.7,2.0,15.0,0.3649851632047478,-0.006956912999538299
DDO064,1.2625000000000002,-1.0541990884477241,-2.3166990884477245,2.3166990884477245,1,-1,0,neg,1,0,0,10.0,-0.8041003475907662,0.157,6.8,-0.6757175447023074,0.211,3.49,46.1,1.0,14.0,0.30151843817787416,-0.023733661375545608
UGCA442,1.9625000000000024,-1.0158912959878124,-2.978391295987815,2.978391295987815,1,-1,0,neg,1,0,0,9.0,-0.8538719643217619,0.14,4.35,-0.5800442515102421,0.263,4.37,56.4,1.0,8.0,0.25177304964539005,-0.04196568675075777
DDO168,-0.9250000000000012,-1.313972068410818,-0.3889720684108169,0.3889720684108169,-1,-1,1,neg,1,0,0,10.0,-0.7189666327522725,0.191,4.25,-0.384049948343599,0.413,4.3,53.4,2.0,10.0,0.3595505617977528,-0.047643267111271155
D631-7,0.08750000000000055,-1.7037334911863655,-1.791233491186366,1.791233491186366,1,-1,0,neg,1,0,0,10.0,-0.707743928643524,0.196,7.72,-0.5376020021010439,0.29,0.0,57.7,1.0,16.0,0.1457538994800693,-0.05512606498438256
UGC01281,0.7249999999999992,-1.2651369965104762,-1.9901369965104754,1.9901369965104754,1,-1,0,neg,1,0,0,8.0,-0.4522252946121775,0.353,5.27,-0.5316526695878427,0.294,5.26,55.2,1.0,25.0,0.3115942028985507,-0.06299904908863589
UGC07603,1.8125000000000004,1.934607084792702,0.12210708479270149,0.12210708479270149,1,1,1,pos,1,0,0,7.0,-0.42481215507233894,0.376,4.7,-0.5883802940367698,0.258,4.37,61.6,1.0,12.0,0.3181818181818182,-0.07087203319288925
UGC05721,1.3749999999999998,0.8984501975162827,-0.47654980248371703,0.47654980248371703,1,1,1,pos,1,0,0,7.0,-0.2749054789185309,0.531,6.18,-0.2502636844309389,0.562,6.74,79.7,1.0,23.0,0.3450439146800502,-0.07628973933673017
NGC2915,0.5124999999999993,-1.2917520083430123,-1.8042520083430116,1.8042520083430116,1,-1,0,neg,1,0,0,11.0,-0.19314197048118256,0.641,4.06,-0.29413628771608075,0.508,7.16,83.5,2.0,30.0,0.16167664670658682,-0.08582760599722244
