gamma_p,chi2_bpb,chi2_lcdm_best,dchi2
0.09,399.0125880227197,401.3,-2.2874119772803283
0.095,399.1402290796507,401.3,-2.159770920349331
0.1,399.26334167959067,401.3,-2.0366583204093445
0.105,399.3820889277805,401.3,-1.9179110722195105
0.11,399.4966279576488,401.3,-1.8033720423512136
0.115,399.6071101529699,401.3,-1.6928898470301306
0.12,399.7136813616991,401.3,-1.5863186383008951
0.125,399.8164821017963,401.3,-1.4835178982037291
0.13,399.915647759318,401.3,-1.3843522406820057
0.135,400.0113087790695,401.3,-1.2886912209305024
0.14,400.10359084808863,401.3,-1.1964091519113822
0.145,400.1926150722232,401.3,-1.1073849277768204
0.15,400.2784981460661,401.3,-1.0215018539338985
0.16,400.44128654002407,401.3,-0.8587134599759452
0.17,400.59280742383135,401.3,-0.7071925761686657
0.18,400.733851457153,401.3,-0.5661485428470314
0.19,400.86515297259007,401.3,-0.4348470274099441
0.2,400.9873940574117,401.3,-0.3126059425883341
0.21,401.1012083341346,401.3,-0.1987916658654285
0.22,401.2071844624645,401.3,-0.09281553753550043
0.23,401.305869383438,401.3,0.005869383437982378
0.24,401.3977713250605,401.3,0.09777132506047792
0.25,401.4833625872981,401.3,0.18336258729806332
0.26,401.56308212292674,401.3,0.2630821229267326
0.27,401.63733792950313,401.3,0.33733792950312136
0.28,401.7065092665656,401.3,0.4065092665655925
0.29,401.770948711098,401.3,0.4709487110980035
0.3,401.8309840633062,401.3,0.530984063306164
0.31,401.8869201138384,401.3,0.5869201138384028
0.32,401.9390402827322,401.3,0.6390402827321964
0.33,401.9876081395993,401.3,0.6876081395992628
0.34,402.032868813833,401.3,0.7328688138329653
0.35,402.0750503029477,401.3,0.7750503029477045
0.36,402.1143646865786,401.3,0.8143646865785854
0.37,402.1510092530568,401.3,0.8510092530568159
0.38,402.1851675449967,401.3,0.8851675449967047
0.39,402.21701032982094,401.3,0.9170103298209256
0.4,402.2466965007143,401.3,0.9466965007142676
0.41,402.2743739130882,401.3,0.9743739130881863
0.42,402.3001801612551,401.3,1.0001801612551162
0.43,402.3242432996572,401.3,1.0242432996572006
0.44,402.3466825126843,401.3,1.0466825126842991
0.45,402.3676087368012,401.3,1.0676087368011622
0.46,402.3871252384398,401.3,1.0871252384397962
0.47,402.40532815084975,401.3,1.1053281508497435
0.48,402.4223069728719,401.3,1.122306972871911
0.49,402.4381450323742,401.3,1.1381450323742115
0.5,402.4529199168941,401.3,1.1529199168940636
0.51,402.4667038738405,401.3,1.166703873840504
0.52,402.4795641824421,401.3,1.1795641824421068
0.53,402.4915634994593,401.3,1.1915634994592779
0.54,402.5027601805441,401.3,1.2027601805440895
0.55,402.5132085789809,401.3,1.2132085789808684
0.56,402.5229593234253,401.3,1.2229593234253002
0.57,402.53205957613767,401.3,1.232059576137658
0.58,402.54055327309385,401.3,1.2405532730938376
0.59,402.5484813472701,401.3,1.2484813472701148
0.6,402.5558819362902,401.3,1.2558819362901659
0.61,402.5627905755442,401.3,1.2627905755442157
0.62,402.5692403778124,401.3,1.2692403778123662
