xi_type,bin1,bin2,angbin,theta,xi_data,xi_err,xi_bpb,xi_lcdm
xip,1,1,1,0.7133649061081178,0.0001251156254313,8.72786336369123e-05,9.102765326198444e-07,8.661596959242437e-07
xip,1,1,2,1.452095610920429,6.0068356662917785e-06,4.423743710416612e-05,8.801851675754037e-07,8.394133717894043e-07
xip,1,1,3,2.955824775230528,6.1931750226706e-05,2.2503563646545234e-05,7.992663135418177e-07,7.674006624523083e-07
xip,1,1,4,6.016752640915019,2.1174242050056085e-06,1.1486771691728295e-05,6.945782203634708e-07,6.739328422082108e-07
xip,1,1,5,12.247448713915892,-2.928822558150438e-06,5.8170831138494315e-06,5.521659323950507e-07,5.465763323695958e-07
xip,1,1,6,24.930391683376275,-2.3899101204485857e-06,2.9482865401629053e-06,3.9016568319745525e-07,3.9567226081978637e-07
xip,1,1,7,50.74725716388292,-1.568898350973325e-06,1.5294284293883267e-06,2.2584227274087169e-07,2.3533897821138505e-07
xip,1,1,8,103.2989831192456,1.615415562263499e-07,8.173768145624924e-07,8.470103268560278e-08,9.257432309214981e-08
xip,1,1,9,210.27106704526636,-3.2968259754405076e-09,4.780447060095539e-07,8.537164051854771e-10,2.460766876079068e-09
xip,1,2,1,0.7133649061081178,5.118689798144828e-05,4.4280175443868556e-05,1.7401523595643708e-06,1.654451680233574e-06
xip,1,2,2,1.452095610920429,2.8259797127842383e-05,2.2291903226046165e-05,1.676929895343968e-06,1.5984557061099464e-06
xip,1,2,3,2.955824775230528,4.33571094270959e-06,1.1278529099070256e-05,1.5075356824114363e-06,1.4482942729392852e-06
xip,1,2,4,6.016752640915019,9.951910630670562e-06,5.726112664593282e-06,1.2919270321124907e-06,1.2568552189186517e-06
xip,1,2,5,12.247448713915892,2.485919653899625e-06,2.89707804948639e-06,1.0052958887736664e-06,1.0009436515831577e-06
xip,1,2,6,24.930391683376275,8.840650852330898e-07,1.4795189319085815e-06,6.924105206467132e-07,7.062301425278553e-07
xip,1,2,7,50.74725716388292,1.981208065939686e-06,7.821939657730837e-07,3.843609482091873e-07,4.0460728333974477e-07
xip,1,2,8,103.2989831192456,3.055692860280037e-07,4.2936435393174634e-07,1.3416306206476898e-07,1.4934593211411038e-07
xip,1,2,9,210.27106704526636,1.0765346838290453e-07,2.5561070246633087e-07,-1.8417171502311346e-09,5.803735405703135e-10
xip,1,3,1,0.7133649061081178,-3.0451335851633288e-05,3.805749774524741e-05,2.0920835453235583e-06,1.988215219712959e-06
xip,1,3,2,1.452095610920429,3.868216427865689e-05,1.9069166894843584e-05,2.0143846267232578e-06,1.9194681288367424e-06
xip,1,3,3,2.955824775230528,2.014482297822949e-05,9.63062941598331e-06,1.806377490733268e-06,1.735284864367802e-06
xip,1,3,4,6.016752640915019,4.629802568460864e-06,4.899864440734008e-06,1.5426277427137651e-06,1.501456197757625e-06
xip,1,3,5,12.247448713915892,-8.357076630144282e-07,2.5011327114561643e-06,1.193994341135815e-06,1.1902839563388935e-06
xip,1,3,6,24.930391683376275,3.896505605904183e-07,1.3020902663356464e-06,8.170363835955003e-07,8.343669426707324e-07
xip,1,3,7,50.74725716388292,5.06877570412422e-07,7.091895509467892e-07,4.4862408295175707e-07,4.73415027918932e-07
xip,1,3,8,103.2989831192456,7.660231890045339e-07,4.0158577428258407e-07,1.535952030793313e-07,1.717966929389189e-07
xip,1,3,9,210.27106704526636,-1.7979431733133805e-07,2.41397976684521e-07,-3.077175152986833e-09,-3.6148137837434863e-10
xip,1,4,1,0.7133649061081178,8.592895088357473e-05,4.3421594464865425e-05,2.2558627432893337e-06,2.1432918774581605e-06
xip,1,4,2,1.452095610920429,3.3853704618148865e-05,2.169466109942662e-05,2.171426876073202e-06,2.068620230672277e-06
