name,mouter,n_inner,n_outer,R_half
CamB,-5.2406,5,4,0.9
D512-2,-9.3846,2,2,2.4
D564-8,-3.9927,3,3,1.785
D631-7,5.6513,8,8,3.815
DDO064,2.8221,7,7,1.385
DDO154,2.0762,6,6,3.21
DDO161,-4.6532,16,15,6.28
DDO168,2.6864,5,5,2.265
DDO170,-3.725,4,4,7.1
ESO079-G014,9.4086,8,7,6.34
ESO116-G012,14.572,8,7,4.13
ESO444-G084,13.6095,4,3,1.81
ESO563-G021,-14.2905,15,15,17.695
F561-1,-38.2093,3,3,5.645
F563-1,22.9861,9,8,9.26
F563-V1,-31.6772,3,3,4.585
F563-V2,29.6603,5,5,3.555
F565-V2,9.3166,4,3,5.03
F567-2,-29.1071,3,2,5.75
F568-1,30.8489,6,6,5.185
F568-3,20.7969,9,9,4.87
F568-V1,15.031,8,7,5.87
F571-8,4.866,7,6,4.77
F571-V1,3.1961,4,3,7.78
F574-1,2.4767,7,7,6.58
F574-2,-43.3016,3,2,6.49
F579-V1,-9.136,7,7,6.005
F583-1,9.1502,13,12,3.86
F583-4,-3.067,6,6,4.675
IC2574,14.9258,17,17,5.545
IC4202,-28.8087,16,16,12.905
KK98-251,-0.4403,8,7,1.4
NGC0024,5.2577,15,14,1.7
NGC0055,3.4578,11,10,7.37
NGC0100,4.4547,11,10,4.79
NGC0247,3.1353,13,13,7.8
NGC0289,7.6751,14,14,30.255
NGC0300,12.6738,13,12,6.36
NGC0801,-17.9829,7,6,17.65
NGC0891,-3.1369,9,9,9.265
NGC1003,0.7149,18,18,15.745
NGC1090,-5.6699,12,12,15.705
NGC1705,-3.7519,7,7,3.115
NGC2366,2.2416,13,13,3.09
NGC2403,-7.8167,37,36,3.79
NGC2683,-9.0778,6,5,17.31
NGC2841,11.9772,25,25,13.33
NGC2903,-1.4942,17,17,9.12
NGC2915,1.7717,15,15,5.185
NGC2955,-7.1874,12,12,9.035
NGC2976,6.8803,14,13,1.01
NGC2998,-1.0772,7,6,12.5
NGC3109,13.0088,13,12,3.35
NGC3198,1.1004,22,21,7.06
NGC3521,2.4368,21,20,3.95
NGC3726,-4.344,6,6,13.065
NGC3741,3.2001,11,10,2.57
NGC3769,-2.7674,6,6,11.39
NGC3877,-7.2059,7,6,6.11
NGC3893,-0.4692,5,5,9.855
NGC3917,4.9816,9,8,7.85
NGC3949,10.6841,4,3,4.37
NGC3953,-9.6104,4,4,9.595
NGC3972,5.5906,5,5,4.805
NGC3992,-2.0395,5,4,27.52
NGC4010,6.9912,6,6,5.675
NGC4013,-2.1319,18,18,18.23
NGC4051,-16.9719,4,3,6.98
NGC4068,-2.907,3,3,1.27
NGC4085,3.8793,4,3,3.58
NGC4088,-9.3547,6,6,11.33
NGC4100,-0.7351,12,12,12.655
NGC4138,-6.8557,4,3,10.65
NGC4157,-4.6053,9,8,15.68
NGC4183,-1.898,12,11,10.47
NGC4214,14.893,7,7,2.925
NGC4217,-5.5582,10,9,8.72
NGC4389,-9.3436,3,3,3.145
NGC4559,-3.631,16,16,10.805
NGC5005,-3.8919,9,9,4.67
NGC5033,0.2376,11,11,20.515
NGC5055,13.2772,14,14,15.745
NGC5371,0.0231,10,9,20.2
NGC5585,10.0186,12,12,3.08
NGC5907,2.2515,10,9,27.68
NGC5985,-0.6622,17,16,15.64
NGC6015,2.1797,22,22,11.54
NGC6195,-18.4688,12,11,12.34
NGC6503,0.3058,16,15,12.12
NGC6674,-7.7683,8,7,37.51
NGC6789,16.6939,2,2,0.405
NGC6946,-6.3026,29,29,10.29
NGC7331,-11.1733,18,18,17.61
NGC7793,8.1952,23,23,1.66
NGC7814,1.0521,9,9,10.075
PGC51017,-10.4838,3,3,1.98
UGC00128,7.1935,11,11,27.525
UGC00191,0.0706,5,4,1.62
UGC00634,19.528,2,2,11.26
UGC00731,1.4943,6,6,5.905
UGC00891,-0.2414,3,2,4.45
UGC01230,-3.8455,6,5,8.6
UGC01281,4.1702,13,12,1.92
UGC02023,-7.7606,3,2,2.27
UGC02259,-3.74,4,4,4.58
UGC02455,-22.6437,4,4,2.265
UGC02487,61.5435,9,8,40.19
UGC02885,-0.9039,10,9,38.97
UGC02916,-13.3354,22,21,7.39
UGC02953,17.9311,58,57,6.53
UGC03205,6.1071,24,24,8.155
UGC03546,-9.476,15,15,4.865
UGC03580,-19.6812,24,23,2.75
UGC04278,14.3434,13,12,3.46
UGC04305,-37.8771,11,11,2.885
UGC04325,0.898,4,4,3.14
UGC04483,-1.2331,4,4,0.65
UGC04499,-1.4398,5,4,4.55
UGC05005,7.4737,6,5,8.6
UGC05253,-19.8499,37,36,4.69
UGC05414,-0.4788,3,3,2.395
UGC05716,3.1524,6,6,6.715
UGC05721,3.2997,12,11,2.07
UGC05750,-1.517,6,5,4.82
UGC05764,-4.6968,5,5,1.99
UGC05829,0.9863,6,5,3.77
UGC05918,-5.5271,4,4,2.51
UGC05986,18.8333,8,7,5.02
UGC05999,10.1212,3,2,10.42
UGC06399,3.3266,5,4,4.37
UGC06446,-0.0675,9,8,5.23
UGC06614,-42.664,7,6,15.76
UGC06628,-42.474,4,3,4.39
UGC06667,4.802,5,4,4.37
UGC06786,1.34,23,22,6.0
UGC06787,47.208,36,35,6.5
UGC06818,6.0811,4,4,3.935
UGC06917,2.582,6,5,6.11
UGC06923,0.7165,3,3,3.295
UGC06930,-3.3967,5,5,9.595
UGC06973,-7.9201,5,4,5.32
UGC06983,-0.6403,9,8,8.72
UGC07089,-0.0182,6,6,5.675
UGC07125,-12.1806,7,6,10.08
UGC07151,-1.6272,6,5,3.0
UGC07232,4.0884,2,2,0.515
UGC07261,-3.6826,4,3,3.81
UGC07323,4.2307,5,5,3.205
UGC07399,12.4467,5,5,3.375
UGC07524,1.8886,16,15,5.51
UGC07559,-1.5128,4,3,1.45
UGC07577,-4.7835,5,4,0.94
UGC07603,3.9332,6,6,2.22
UGC07608,10.702,4,4,2.685
UGC07690,-3.258,4,3,2.36
UGC07866,-5.42,4,3,1.33
UGC08286,-0.5922,9,8,4.25
UGC08490,-4.1206,15,15,5.245
UGC08550,0.0319,6,5,2.92
UGC08699,8.1637,21,20,7.16
UGC08837,3.7477,4,4,2.36
UGC09037,-14.3048,11,11,15.165
UGC09133,12.6198,34,34,12.62
UGC09992,-20.1456,3,2,2.34
UGC10310,-6.6322,4,3,4.42
UGC11455,-20.1403,18,18,11.36
UGC11557,-18.5059,6,6,4.235
UGC11820,6.2719,5,5,3.135
UGC11914,11.2509,33,32,3.83
UGC12506,-0.9864,16,15,25.41
UGC12632,-3.9764,8,7,5.69
UGC12732,7.213,8,8,8.16
UGCA281,-0.5632,4,3,0.58
UGCA442,4.405,4,4,3.375
UGCA444,1.6828,18,18,1.365
