name,logM200,Type,Dist,i,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,n_points_used,s_inner,active_shape_gate,delta_R1,alpha_v_best,ratio_v_best,Areq_v_best,at_lower_bound,at_upper_bound,chi2_ref,chi2_best,delta_chi2_best,red_chi2_ref_like,red_chi2_best_like
UGCA444,10.06,10,0.98,78.0,0.012,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,36,0.3621621621621621,1,-0.0006297790889632219,2.0,0.9987404418220736,-2.000000000000002,0,1,7.3659197166594215,7.362710670388184,-0.0032090462712375256,0.21045484904741205,0.21036316201109098
KK98-251,10.35,10,6.8,59.0,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,15,0.3649851632047478,1,-0.006956912999538299,2.0,0.9860861740009234,-2.0000000000000067,0,1,53.4485344012404,51.25455234144988,-2.193982059790521,3.817752457231457,3.6610394529607055
DDO064,10.54,10,6.8,60.0,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,14,0.30151843817787416,1,-0.023733661375545608,-1.2624999999999997,1.0299637474866263,1.2625000000000002,0,0,9.579508428025752,9.46004165591984,-0.11946677210591261,0.7368852636942886,0.7276955119938339
UGC09992,10.63,10,10.7,30.0,0.336,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,5,0.8363095238095238,0,-0.03820939196109405,0.0,1.0,0.0,0,0,36.48712695665881,36.48712695665881,0.0,9.121781739164703,9.121781739164703
UGCA442,10.65,9,4.35,64.0,0.14,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,8,0.25177304964539005,1,-0.04196568675075777,-1.9625,1.0823576602483622,1.9625000000000024,0,0,44.305710170238314,19.554076831483993,-24.75163333875432,6.329387167176902,2.7934395473548563
DDO170,10.67,10,15.4,66.0,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,8,0.46166666666666667,0,-0.04572198154042143,0.0,1.0,0.0,0,0,93.1561427064817,93.1561427064817,0.0,13.308020386640242,13.308020386640242
DDO168,10.68,10,4.25,63.0,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,10,0.3595505617977528,1,-0.047643267111271155,0.9250000000000007,0.9559299779220741,-0.9250000000000012,0,0,129.08081428234448,126.07307337628838,-3.0077409060560996,14.342312698038276,14.008119264032041
D631-7,10.71,10,7.72,59.0,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,16,0.1457538994800693,1,-0.05512606498438256,-0.08749999999999991,1.0048235306861335,0.08750000000000055,0,0,137.24984925793663,137.20931981894512,-0.040529438991512734,9.14998995052911,9.147287987929674
UGC07125,10.71,9,19.8,90.0,2.712,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,13,0.5299079754601227,0,-0.05512606498438256,0.0,1.0,0.0,0,0,369.1206147882594,369.1206147882594,0.0,30.76005123235495,30.76005123235495
UGC00731,10.73,10,12.5,57.0,0.323,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,12,0.5061391541609823,0,-0.06037472105388475,0.0,1.0,0.0,0,0,8.049492571176463,8.049492571176463,0.0,0.7317720519251331,0.7317720519251331
UGC01281,10.74,8,5.27,90.0,0.353,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,25,0.3115942028985507,1,-0.06299904908863589,-0.7249999999999996,1.045674310589261,0.7249999999999992,0,0,42.20371035950544,41.30915168630469,-0.8945586732007555,1.7584879316460602,1.7212146535960287
UGC08490,10.74,9,4.65,50.0,1.017,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,30,0.49363867684478374,0,-0.06299904908863589,0.0,1.0,0.0,0,0,25.65288912348743,25.65288912348743,0.0,0.884582383568532,0.884582383568532
UGC05716,10.76,9,21.3,54.0,0.588,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,12,0.5355677154582763,0,-0.06824770515813809,0.0,1.0,0.0,0,0,147.11744068175778,147.11744068175778,0.0,13.374312789250707,13.374312789250707
UGC07603,10.77,7,4.7,78.0,0.376,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,12,0.3181818181818182,1,-0.07087203319288925,-1.8125,1.1284555601621118,1.8125000000000004,0,0,32.17383190517879,14.978872314070701,-17.194959591108088,2.924893809561708,1.3617156649155182
UGC05721,10.79,7,6.18,61.0,0.531,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,23,0.3450439146800502,1,-0.07628973933673017,-1.375,1.104898391588004,1.3749999999999998,0,0,75.23409896609316,55.04687889000072,-20.187220076092437,3.4197317711860524,2.5021308586363964
NGC2915,10.82,11,4.06,56.0,0.641,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,30,0.16167664670658682,1,-0.08582760599722244,-0.5124999999999997,1.0439866480735764,0.5124999999999993,0,0,29.628758367508837,25.53989129690607,-4.088867070602767,1.021681323017546,0.8806859067898645
UGC12632,10.84,9,9.77,46.0,1.301,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,15,0.4686192468619247,0,-0.09241973970361805,0.0,1.0,0.0,0,0,22.161484001048642,22.161484001048642,0.0,1.5829631429320459,1.5829631429320459
DDO161,10.87,10,7.5,70.0,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,31,0.2805429864253394,1,-0.10230794026321141,1.1875,0.8785093209374364,-1.1875000000000007,0,0,501.65217741205515,169.28727088893467,-332.36490652312045,16.721739247068506,5.642909029631156
UGC08286,10.87,6,6.5,90.0,1.255,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,17,0.39805825242718446,1,-0.10230794026321141,-0.012499999999999734,1.00127884925329,0.012499999999998864,0,0,37.32343693438189,37.31099364144439,-0.012443292937497574,2.332714808398868,2.3319371025902744
NGC4214,10.89,10,2.87,15.0,1.141,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,14,0.6928838951310862,0,-0.10890991765359856,0.0,1.0,0.0,0,0,94.68663878492214,94.68663878492214,0.0,7.283587598840165,7.283587598840165
UGC06446,10.89,7,12.0,51.0,0.988,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,17,0.5237226277372262,0,-0.10890991765359856,0.0,1.0,0.0,0,0,9.801885907117033,9.801885907117033,0.0,0.6126178691948145,0.6126178691948145
UGC06818,10.89,9,18.0,75.0,1.588,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,8,0.3286516853932584,1,-0.10890991765359856,0.5625,0.9387381713198508,-0.5624999999999999,0,0,32.58232167765277,31.651815155714278,-0.9305065219384936,4.654617382521825,4.521687879387754
UGC04499,10.91,8,12.5,50.0,1.552,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,9,0.35714285714285715,1,-0.11586464575478443,0.40000000000000036,0.9536541416980862,-0.40000000000000063,0,0,11.35237003922264,8.397053142884118,-2.9553168963385215,1.41904625490283,1.0496316428605148
UGC02259,10.93,8,10.5,41.0,1.725,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,8,0.6508120649651972,0,-0.12326174268006071,0.0,1.0,0.0,0,0,24.830887810221707,24.830887810221707,0.0,3.5472696871745297,3.5472696871745297
UGC10310,10.97,9,15.2,34.0,1.741,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,7,0.4649859943977591,0,-0.1380559365306139,0.0,1.0,0.0,0,0,7.116463222652071,7.116463222652071,0.0,1.1860772037753453,1.1860772037753453
F571-V1,10.99,7,80.1,30.0,1.849,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,7,0.3827751196172249,1,-0.14545303345589017,-0.2749999999999999,1.0399995842003698,0.2749999999999997,0,0,3.1914630075893764,2.660688575621628,-0.5307744319677483,0.531910501264896,0.443448095936938
UGC07261,10.99,8,13.1,30.0,1.753,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,7,0.6265060240963854,0,-0.14545303345589017,0.0,1.0,0.0,0,0,2.6669672992733178,2.6669672992733178,0.0,0.4444945498788863,0.4444945498788863
F583-1,11.02,9,35.4,63.0,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,25,0.2738927738927739,1,-0.15653328627846244,-1.0,1.1565332862784625,1.0000000000000004,0,0,58.23188688244908,40.246689323212784,-17.985197559236298,2.426328620102045,1.6769453884671994
UGC04325,11.04,9,9.6,41.0,2.026,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,8,0.605060506050605,0,-0.16390307088911477,0.0,1.0,0.0,0,0,35.16596044548128,35.16596044548128,0.0,5.023708635068755,5.023708635068755
F563-1,11.05,9,48.9,25.0,1.903,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,17,0.6251137397634212,0,-0.16758793443877867,0.0,1.0,0.0,0,0,65.94963334406489,65.94963334406489,0.0,4.121852084004056,4.121852084004056
NGC3109,11.06,9,1.33,70.0,0.194,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,25,0.25679758308157097,1,-0.17127279798844194,-1.775,1.3040092164294843,1.7749999999999992,0,0,395.7511450713394,278.3434776513271,-117.40766742001233,16.489631044639143,11.597644902138628
