name,dR1,c200_ref,chi2_ref,alpha_c_opt,chi2_best,delta_chi2,at_boundary,converged
UGC10310,-0.138056,8.93,7.12,5.0,0.62,-6.49,0,1
UGC07261,-0.145453,9.65,2.67,1.5,1.63,-1.03,0,1
UGC04325,-0.163903,13.94,35.17,4.95,20.01,-15.15,0,1
F563-1,-0.167588,7.41,65.95,-2.6,30.08,-35.87,0,1
UGC06923,-0.171273,8.84,4.76,-1.9,2.68,-2.09,0,1
UGC07524,-0.174958,6.33,27.9,-1.1,25.0,-2.91,0,1
UGC07151,-0.178643,6.97,21.86,1.7,17.44,-4.41,0,1
UGC06667,-0.189697,8.83,21.26,0.45,8.82,-12.44,0,1
F563-V2,-0.193156,7.92,46.36,-0.35,6.5,-39.87,0,1
UGC06628,-0.193156,8.77,116.99,5.15,3.13,-113.85,0,1
UGC07399,-0.196479,12.5,172.77,-2.6,7.5,-165.27,0,1
F568-V1,-0.206194,11.17,45.35,1.0,2.05,-43.3,0,1
NGC4183,-0.225462,10.89,5.9,1.45,4.46,-1.43,0,1
UGC06983,-0.227739,11.13,11.71,-0.35,9.16,-2.55,0,1
NGC6503,-0.229514,13.6,41.33,0.0,41.27,-0.06,0,1
F574-1,-0.234097,7.98,23.93,1.2,18.54,-5.39,0,1
NGC0055,-0.234097,4.55,71.53,-0.85,52.12,-19.4,0,1
UGC01230,-0.235624,9.47,10.58,2.8,7.26,-3.32,0,1
UGC06930,-0.237151,9.07,3.41,1.05,2.82,-0.59,0,1
NGC0024,-0.238679,9.16,25.13,0.15,12.84,-12.29,0,1
UGC06917,-0.241734,8.79,12.21,-1.55,5.68,-6.53,0,1
F579-V1,-0.241929,13.91,10.14,-0.65,6.76,-3.38,0,1
NGC0247,-0.224526,5.92,44.8,1.45,37.99,-6.82,0,1
NGC2403,-0.22045,17.99,12287.75,1.1,660.57,-11627.18,0,1
NGC3769,-0.208222,9.26,7.69,-0.6,6.15,-1.54,0,1
NGC4559,-0.204064,8.78,28.82,0.05,7.58,-21.24,0,1
NGC6015,-0.17892,17.52,470.5,0.25,337.75,-132.75,0,1
