name,dR1,Areq,Areq_pred_sign,sign_true,sign_correct_physical,dchi2_physical,dchi2_oracle,sinner,mouter,Areq_pred_physical,Areq_pred_oracle,c200_lcdm_ratio
UGCA444,-0.00063,-2.0,-1,-1,1,-0.0,-0.0,0.3621621621621621,1.6828,-1.6294286731373044,-2.0,0.40696815044682083
KK98-251,-0.006957,-2.0,-1,-1,1,-2.19,-2.19,0.3649851632047478,-0.4403,-0.8511534196090857,-2.0,0.5337529950721306
DDO064,-0.023734,1.2625,1,1,1,-0.12,-0.12,0.3015184381778741,2.8221,-1.054199088447724,1.2625,0.6211371904390813
UGCA442,-0.041966,1.9625,1,1,1,-24.75,-24.75,0.25177304964539,4.405,-1.0158912959878124,1.9625,0.671775068881699
DDO168,-0.047643,-0.925,-1,-1,1,-3.01,-3.01,0.3595505617977528,2.6864,-1.313972068410818,-0.925,0.6854636732359145
D631-7,-0.055126,0.0875,1,1,1,-0.04,-0.04,0.1457538994800693,5.6513,-1.7037334911863655,0.0875,0.699071779121245
UGC01281,-0.062999,0.725,1,1,1,-0.8,-0.8,0.3115942028985507,4.1702,-1.2651369965104762,0.725,0.7125836635878766
UGC07603,-0.070872,1.8125,1,1,1,-17.19,-17.19,0.3181818181818182,3.9332,1.934607084792702,1.8125,0.725983445490423
UGC05721,-0.07629,1.375,-1,1,0,0.0,-20.19,0.3450439146800502,3.2997,0.8984501975162827,1.375,0.7348382400554069
NGC2915,-0.085828,0.5125,1,1,1,-4.09,-4.09,0.1616766467065868,1.7717,-1.2917520083430123,0.5125,0.7480155003516128
DDO161,-0.102308,-1.1875,-1,-1,1,-332.36,-332.36,0.2805429864253394,-4.6532,-1.295770208212598,-1.1875,0.7696277805117051
UGC08286,-0.102308,0.0125,-1,1,0,0.0,-0.01,0.3980582524271844,-0.5922,1.249534462084393,0.0125,0.7696277805117051
UGC06818,-0.10891,-0.5625,1,-1,0,0.0,-0.93,0.3286516853932584,6.0811,-0.5151846138344951,-0.5625,0.7781400866027303
UGC04499,-0.115865,-0.4,1,-1,0,0.0,-2.96,0.3571428571428571,-1.4398,-0.6363984047561905,-0.4,0.786552531067178
F571-V1,-0.145453,0.275,-1,1,0,0.0,-0.53,0.3827751196172249,3.1961,0.0,0.275,0.8192864106034108
F583-1,-0.156533,1.0,1,1,1,-17.6,-17.6,0.2738927738927739,9.1502,-1.2140315663075625,1.0,0.831125136156272
NGC3109,-0.171273,1.775,1,1,1,-117.41,-117.41,0.2567975830815709,13.0088,-2.0714672228565822,1.775,0.8464960194581889
UGC06399,-0.182327,0.275,1,1,1,-1.45,-1.45,0.4176470588235294,3.3266,-0.9826606320971816,0.275,0.8576985026761582
UGC05005,-0.189697,0.15,1,1,1,-0.18,-0.18,0.2381193124368048,7.4737,2.481886116040487,0.15,0.86500576686881
NGC0300,-0.193156,1.6875,1,1,1,-274.39,-274.39,0.4276527331189711,12.6738,0.7937333070727544,1.6875,0.868602646634491
NGC2976,-0.193156,2.5625,1,1,1,-22.47,-22.47,0.3360655737704918,6.8803,2.1376589032800664,2.5625,0.868602646634491
UGC04278,-0.202956,1.5625,1,1,1,-56.34,-56.34,0.3648796498905908,14.3434,1.359881743504476,1.5625,0.8791933802539843
IC2574,-0.215908,3.375,1,1,1,-1800.37,-1800.37,0.2801204819277108,14.9258,-0.4321547527625364,3.375,0.892809903296472
NGC0100,-0.215908,0.1625,1,1,1,-1.25,-1.25,0.300794551645857,4.4547,0.0,0.1625,0.892809903296472
NGC5585,-0.232569,0.8875,1,1,1,-294.23,-294.23,0.3732004429678848,10.0186,1.433721939178291,0.8875,0.9151141566474207
UGC00128,-0.17177,0.35,1,1,1,-696.89,-696.89,0.4350348027842227,7.1935,1.009286188569552,0.35,0.9710615425178295
ESO116-G012,-0.157469,1.975,1,1,1,-293.97,-293.97,0.3666361136571952,14.572,-1.2685693980798594,1.975,0.9749830685281177
NGC4085,-0.150318,0.0875,1,1,1,-0.04,-0.04,0.3209125475285171,3.8793,-0.5965757919677768,0.0875,0.9768574497122476
NGC3972,-0.113254,0.9,-1,1,0,0.0,-7.49,0.4242652599849285,5.5906,-1.013639850727762,0.9,0.9870300231605945
NGC1003,-0.108888,-0.125,-1,-1,1,-4.38,-4.38,0.4280510018214936,0.7149,-2.590683950820181,-0.125,0.9885460388831446
NGC4010,-0.104522,0.5,-1,1,0,0.0,-2.15,0.4340222575516693,6.9912,-1.0398865241138346,0.5,0.9899981134787759
NGC3877,-0.068609,-0.6,-1,-1,1,-3.36,-3.36,0.3500593824228028,-7.2059,-0.4593582211465865,-0.6,1.0006047099677597
UGC05986,-0.065717,4.0,-1,1,0,0.0,-453.22,0.3553097345132743,18.8333,1.762886479872085,4.0,1.0014975251350853
NGC1090,-0.059933,-1.0,-1,-1,1,-72.2,-72.2,0.3753041362530414,-5.6699,-0.6150466476516441,-1.0,1.0031336466812455
NGC3917,-0.045572,2.6875,-1,1,0,0.0,-18.5,0.3649742457689477,4.9816,-1.0128393452865905,2.6875,1.0062131371548726
F571-8,0.002686,-2.0,-1,-1,1,-0.31,-0.31,0.404438081603436,4.866,-2.295563033885894,-2.0,0.995813127667207
ESO079-G014,0.023492,-2.0,-1,-1,1,-31.48,-31.48,0.3471428571428571,9.4086,-2.204626839028188,-2.0,0.922485873817018
ESO563-G021,0.019122,4.0,1,1,1,-34.72,-34.72,0.3068976478067386,-14.2905,-3.016491841803152,4.0,0.4731026258394847
