name,logM200,Vflat,Qual,Rdisk,log10Cobs,log10c_ref,delta_R1,n_inner_pts,inner_shape_proxy
UGCA444,10.06,37.0,2,0.83,0.8926510338773004,0.7259267481492326,-0.0006297790889632219,10,0.3621621621621621
KK98-251,10.35,33.7,2,1.34,0.6730209071288962,0.8144166507371835,-0.006956912999538299,7,0.3649851632047478
DDO064,10.54,46.1,1,0.69,0.8965262174895553,0.8610738590222925,-0.023733661375545608,3,0.30151843817787416
UGC09992,10.63,33.6,2,1.04,0.9684829485539351,0.880051737344446,-0.03820939196109405,1,0.8363095238095238
UGCA442,10.65,56.4,1,1.18,0.8401060944567578,0.8840002078585054,-0.04196568675075777,1,0.25177304964539005
DDO170,10.67,60.0,2,1.95,0.8756399370041683,0.8878403253240947,-0.04572198154042143,1,0.46166666666666667
DDO168,10.68,53.4,2,1.02,0.8686444383948257,0.889730769629725,-0.047643267111271155,2,0.3595505617977528
D631-7,10.71,57.7,1,0.7,0.7474118078864233,0.8952380961389611,-0.05512606498438256,1,0.1457538994800693
UGC07125,10.71,65.2,1,3.38,0.983175072037813,0.8952380961389611,-0.05512606498438256,2,0.5299079754601227
UGC00731,10.73,73.3,1,2.3,0.9717395908877782,0.8987806702261121,-0.06037472105388475,2,0.5061391541609823
UGC01281,10.74,55.2,1,1.63,0.7979596437371961,0.9005221873862126,-0.06299904908863589,11,0.3115942028985507
UGC08490,10.74,78.6,1,0.67,1.2645817292380774,0.9005221873862126,-0.06299904908863589,1,0.49363867684478374
UGC05716,10.76,73.1,2,1.14,0.9405164849325672,0.9039159897841444,-0.06824770515813809,1,0.5355677154582763
UGC07603,10.77,61.6,1,0.53,1.000867721531227,0.9055830433714802,-0.07087203319288925,1,0.3181818181818182
UGC05721,10.79,79.7,1,0.38,1.1920095926536702,0.9088280740801931,-0.07628973933673017,2,0.3450439146800502
NGC2915,10.82,83.5,2,0.55,1.1815577738627863,0.9135169231142575,-0.08582760599722244,1,0.16167664670658682
UGC12632,10.84,71.7,1,2.42,0.9809119377768436,0.9165202192600279,-0.09241973970361805,3,0.4686192468619247
DDO161,10.87,66.3,1,1.22,0.795184589682424,0.9208370613428889,-0.10230794026321141,5,0.2805429864253394
UGC08286,10.87,82.4,1,1.05,1.1417632302757879,0.9208370613428889,-0.10230794026321141,2,0.39805825242718446
NGC4214,10.89,80.1,2,0.51,0.9532763366673044,0.9235941146927106,-0.10890991765359856,1,0.6928838951310862
UGC06446,10.89,82.2,1,1.49,1.0614524790871933,0.9235941146927106,-0.10890991765359856,2,0.5237226277372262
UGC06818,10.89,71.2,2,1.39,0.8382192219076258,0.9235941146927106,-0.10890991765359856,1,0.3286516853932584
UGC04499,10.91,72.8,1,1.73,0.9164539485499251,0.9262440586445465,-0.11586464575478443,1,0.35714285714285715
UGC02259,10.93,86.2,2,1.62,1.2038484637462348,0.9288010397226591,-0.12326174268006071,1,0.6508120649651972
UGC10310,10.97,71.4,1,1.8,0.9508514588885464,0.9336126393548189,-0.1380559365306139,1,0.4649859943977591
F571-V1,10.99,83.6,2,2.47,0.877371345869774,0.9358720770544933,-0.14545303345589017,1,0.3827751196172249
UGC07261,10.99,74.7,2,1.2,0.9845273133437926,0.9358720770544933,-0.14545303345589017,1,0.6265060240963854
F583-1,11.02,85.8,1,2.36,0.7788744720027395,0.9390727428274342,-0.15653328627846244,9,0.2738927738927739
UGC04325,11.04,90.9,1,1.86,1.1442627737619906,0.9410851604496068,-0.16390307088911477,2,0.605060506050605
F563-1,11.05,109.9,1,3.52,0.8698182079793282,0.9420501733383911,-0.16758793443877867,6,0.6251137397634212
NGC3109,11.06,66.2,1,1.56,0.5622928644564746,0.942991245955347,-0.17127279798844194,6,0.25679758308157097
UGC06923,11.06,79.6,2,1.44,0.9464522650130731,0.942991245955347,-0.17127279798844194,1,0.5087939698492463
UGC07524,11.07,79.5,1,3.46,0.8014037100173551,0.943913663815034,-0.17495766153810519,10,0.5018867924528302
UGC07151,11.08,73.5,1,1.25,0.8432327780980093,0.9448043685873639,-0.17864252508776837,2,0.45034013605442175
UGC06399,11.09,85.0,1,2.05,0.9319661147281727,0.9456709776315548,-0.18232738863743161,2,0.4176470588235294
UGC05005,11.11,98.9,1,3.2,0.7745169657285496,0.9473353285743525,-0.18969711573675813,2,0.23811931243680484
UGC06667,11.11,83.8,1,5.15,0.9459607035775686,0.9473353285743525,-0.18969711573675813,5,0.6801909307875895
F563-V2,11.12,116.6,1,2.43,0.8987251815894934,0.9481274740457787,-0.1931560101229261,5,0.5017152658662093
NGC0300,11.12,93.3,2,1.75,0.8254261177678232,0.9481274740457787,-0.1931560101229261,2,0.4276527331189711
NGC2976,11.12,85.4,2,1.01,0.6522463410033232,0.9481274740457787,-0.1931560101229261,13,0.3360655737704918
UGC06628,11.12,41.8,2,2.82,0.9429995933660404,0.9481274740457787,-0.1931560101229261,2,0.7763157894736843
