name,model,Ydisk,e_Ydisk,Ybul,e_Ybul,Dist,e_Dist,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,logM200,e_logM200,alpha,e_alpha,chi2_red,has_finite_halo,has_finite_chi2
UGC04483,NFW-LCDM,0.48,0.11,0.0,0.0,3.17,0.29,56.8,3.0,32.04,1.97,7.73,1.17,5.68,0.93,-2.45,0.23,10.02,0.08,0.0,0.0,1.33,1,1
UGCA444,NFW-LCDM,0.51,0.13,0.0,0.0,0.98,0.05,77.4,4.0,33.0,1.88,7.81,0.79,5.79,0.68,-2.44,0.17,10.06,0.07,0.0,0.0,0.23,1,1
UGC07577,NFW-LCDM,0.37,0.08,0.0,0.0,2.42,0.13,58.6,3.1,35.99,2.05,3.44,0.52,14.32,2.32,-3.25,0.23,10.17,0.07,0.0,0.0,3.11,1,1
D564-8,NFW-LCDM,0.45,0.11,0.0,0.0,8.69,0.28,48.7,5.9,36.53,2.14,5.27,1.06,9.49,1.98,-2.84,0.29,10.19,0.08,0.0,0.0,6.7,1,1
CamB,NFW-LCDM,0.35,0.08,0.0,0.0,2.75,0.28,45.2,5.1,37.53,2.35,3.83,0.71,13.41,2.62,-3.15,0.27,10.23,0.08,0.0,0.0,7.92,1,1
PGC51017,NFW-LCDM,0.44,0.11,0.0,0.0,8.04,1.15,62.5,3.2,38.51,2.37,3.43,0.76,15.37,3.53,-3.25,0.32,10.26,0.08,0.0,0.0,22.6,1,1
KK98-251,NFW-LCDM,0.53,0.13,0.0,0.0,5.47,1.03,60.1,4.8,41.11,2.8,4.71,1.17,11.96,3.09,-2.95,0.36,10.35,0.09,0.0,0.0,3.61,1,1
NGC3741,NFW-LCDM,0.55,0.11,0.0,0.0,3.22,0.17,73.0,3.6,42.69,1.91,7.38,0.66,7.92,0.79,-2.5,0.14,10.39,0.06,0.0,0.0,1.74,1,1
UGC07559,NFW-LCDM,0.43,0.1,0.0,0.0,4.81,0.25,58.9,3.0,42.83,2.47,5.29,0.78,11.09,1.75,-2.83,0.22,10.4,0.08,0.0,0.0,1.97,1,1
UGC05764,NFW-LCDM,0.45,0.11,0.0,0.0,9.44,1.76,53.0,5.5,43.78,3.4,16.16,2.19,3.71,0.58,-1.66,0.23,10.43,0.1,0.0,0.0,10.91,1,1
ESO444-G084,NFW-LCDM,0.52,0.12,0.0,0.0,4.83,0.46,42.1,3.6,44.52,2.68,9.6,1.57,6.35,1.11,-2.22,0.24,10.45,0.08,0.0,0.0,4.71,1,1
UGC07866,NFW-LCDM,0.46,0.12,0.0,0.0,4.52,0.23,37.9,4.0,44.44,2.7,7.07,1.46,8.62,1.86,-2.54,0.3,10.45,0.08,0.0,0.0,0.3,1,1
NGC6789,NFW-LCDM,0.55,0.14,0.0,0.0,3.6,0.18,51.8,5.3,45.36,2.74,14.61,2.72,4.25,0.83,-1.77,0.27,10.47,0.08,0.0,0.0,,1,0
UGC07232,NFW-LCDM,0.51,0.12,0.0,0.0,2.84,0.17,60.4,4.6,45.23,2.64,11.35,1.93,5.46,0.98,-2.04,0.25,10.47,0.08,0.0,0.0,,1,0
UGC05918,NFW-LCDM,0.51,0.12,0.0,0.0,5.99,1.57,44.1,4.7,46.24,4.04,8.75,2.2,7.24,1.93,-2.32,0.37,10.5,0.11,0.0,0.0,0.31,1,1
D512-2,NFW-LCDM,0.49,0.12,0.0,0.0,11.05,3.55,51.1,9.2,47.16,4.8,8.43,2.26,7.66,2.19,-2.36,0.4,10.52,0.13,0.0,0.0,,1,0
DDO064,NFW-LCDM,0.5,0.12,0.0,0.0,7.0,1.32,60.1,4.7,47.77,3.4,7.88,1.83,8.3,2.01,-2.43,0.33,10.54,0.09,0.0,0.0,1.05,1,1
UGCA281,NFW-LCDM,0.5,0.11,0.0,0.0,5.63,0.27,66.8,3.0,47.92,2.78,7.42,0.9,8.85,1.2,-2.49,0.19,10.54,0.08,0.0,0.0,1.46,1,1
NGC4068,NFW-LCDM,0.44,0.11,0.0,0.0,4.32,0.22,37.5,3.8,48.73,2.92,6.63,1.38,10.07,2.18,-2.61,0.3,10.57,0.08,0.0,0.0,10.89,1,1
DDO154,NFW-LCDM,0.33,0.05,0.0,0.0,4.24,0.19,70.0,2.6,49.18,1.63,5.83,0.39,11.55,0.87,-2.74,0.11,10.58,0.04,0.0,0.0,16.57,1,1
NGC2366,NFW-LCDM,0.31,0.05,0.0,0.0,3.42,0.16,75.1,4.0,49.9,2.39,5.58,0.54,12.25,1.31,-2.78,0.16,10.6,0.06,0.0,0.0,3.91,1,1
UGC07608,NFW-LCDM,0.51,0.13,0.0,0.0,8.01,2.16,29.2,5.0,50.9,4.93,8.36,2.13,8.34,2.27,-2.37,0.38,10.62,0.13,0.0,0.0,1.94,1,1
UGC08550,NFW-LCDM,0.6,0.16,0.0,0.0,7.08,1.19,89.8,1.8,51.13,3.78,9.3,2.3,7.53,1.94,-2.26,0.36,10.63,0.1,0.0,0.0,1.53,1,1
UGC09992,NFW-LCDM,0.51,0.13,0.0,0.0,9.97,3.17,20.8,5.0,51.22,5.69,9.3,2.59,7.55,2.27,-2.26,0.42,10.63,0.14,0.0,0.0,,1,0
UGC02455,NFW-LCDM,0.34,0.08,0.0,0.0,2.26,0.7,49.7,5.1,51.67,4.31,11.47,3.21,6.17,1.8,-2.03,0.4,10.64,0.11,0.0,0.0,10.42,1,1
UGCA442,NFW-LCDM,0.61,0.14,0.0,0.0,4.31,0.21,70.5,5.4,51.99,2.43,6.92,0.75,10.3,1.22,-2.56,0.17,10.65,0.06,0.0,0.0,7.38,1,1
UGC08837,NFW-LCDM,0.38,0.08,0.0,0.0,6.99,0.35,78.6,5.0,52.17,2.83,3.64,0.47,19.64,2.76,-3.2,0.2,10.66,0.07,0.0,0.0,10.79,1,1
DDO170,NFW-LCDM,0.5,0.12,0.0,0.0,12.09,2.56,66.0,6.2,52.59,3.53,7.51,1.68,9.59,2.24,-2.48,0.32,10.67,0.09,0.0,0.0,4.44,1,1
DDO168,NFW-LCDM,0.56,0.12,0.0,0.0,4.11,0.21,61.2,4.8,53.33,2.87,7.39,0.85,9.88,1.26,-2.5,0.18,10.68,0.07,0.0,0.0,23.93,1,1
D631-7,NFW-LCDM,0.39,0.07,0.0,0.0,7.62,0.18,57.9,2.7,54.53,2.56,5.59,0.48,13.35,1.31,-2.78,0.14,10.71,0.06,0.0,0.0,12.21,1,1
UGC05829,NFW-LCDM,0.51,0.12,0.0,0.0,7.57,2.16,35.5,5.9,54.54,5.43,6.83,1.64,10.94,2.84,-2.58,0.37,10.71,0.13,0.0,0.0,0.6,1,1
UGC07125,NFW-LCDM,0.49,0.12,0.0,0.0,9.02,1.86,89.8,1.8,54.54,3.3,9.62,2.23,7.76,1.86,-2.22,0.33,10.71,0.08,0.0,0.0,0.76,1,1
UGC00731,NFW-LCDM,0.55,0.13,0.0,0.0,13.58,2.15,57.4,2.8,55.16,2.7,9.37,1.37,8.06,1.24,-2.25,0.21,10.73,0.06,0.0,0.0,0.54,1,1
UGC01281,NFW-LCDM,0.55,0.12,0.0,0.0,5.38,0.24,90.0,0.6,55.82,2.96,6.28,0.62,12.18,1.37,-2.66,0.16,10.74,0.07,0.0,0.0,1.88,1,1
UGC08490,NFW-LCDM,0.48,0.17,0.0,0.0,5.06,0.48,47.1,2.7,55.8,3.37,18.39,3.48,4.16,0.83,-1.52,0.27,10.74,0.08,0.0,0.0,0.29,1,1
UGC05716,NFW-LCDM,0.45,0.1,0.0,0.0,21.87,4.21,56.7,5.4,56.51,4.11,8.72,1.29,8.87,1.46,-2.32,0.24,10.76,0.09,0.0,0.0,2.49,1,1
