name,Type,sign_type95,sign_true,correct_type95,dchi2_type95
UGCA444,10.0,-1,-1,1,-0.0
KK98-251,10.0,-1,-1,1,-2.19
DDO064,10.0,-1,1,0,0.0
UGCA442,9.0,1,1,1,-24.75
DDO168,10.0,-1,-1,1,-3.01
D631-7,10.0,-1,1,0,0.0
UGC01281,8.0,1,1,1,-0.8
UGC07603,7.0,1,1,1,-17.19
UGC05721,7.0,1,1,1,-20.19
NGC2915,11.0,-1,1,0,0.0
DDO161,10.0,-1,-1,1,-332.36
UGC08286,6.0,1,1,1,-0.01
UGC06818,9.0,1,-1,0,0.0
UGC04499,8.0,1,-1,0,0.0
F571-V1,7.0,1,1,1,-0.53
F583-1,9.0,1,1,1,-17.6
NGC3109,9.0,1,1,1,-117.41
UGC06399,9.0,1,1,1,-1.45
UGC05005,10.0,-1,1,0,0.0
NGC0300,7.0,1,1,1,-274.39
NGC2976,5.0,1,1,1,-22.47
UGC04278,7.0,1,1,1,-56.34
IC2574,9.0,1,1,1,-1800.37
NGC0100,6.0,1,1,1,-1.25
NGC5585,7.0,1,1,1,-294.23
UGC00128,8.0,1,1,1,-696.89
ESO116-G012,7.0,1,1,1,-293.97
NGC4085,5.0,1,1,1,-0.04
NGC3972,4.0,1,1,1,-7.49
NGC1003,6.0,1,-1,0,0.0
NGC4010,7.0,1,1,1,-2.15
NGC3877,5.0,1,-1,0,0.0
UGC05986,9.0,1,1,1,-453.22
NGC1090,4.0,1,-1,0,0.0
NGC3917,6.0,1,1,1,-18.5
F571-8,5.0,1,-1,0,0.0
ESO079-G014,4.0,1,-1,0,0.0
ESO563-G021,4.0,1,1,1,-34.72
