name,delta_R1,c200_ref,alpha_c,delta_chi2,at_boundary,c200_lcdm_ratio
F579-V1,-0.242,9.3,-20.0,-2.0,True,1.2082
UGC06917,-0.242,8.3,3.8,-14.5,False,1.0494
NGC0024,-0.239,9.16,4.0,-112.9,False,1.2459
UGC06930,-0.237,9.41,4.0,-11.5,False,1.4648
UGC01230,-0.236,9.64,4.0,-18.5,False,1.0255
F574-1,-0.234,7.28,4.0,-9.1,False,1.0255
NGC0055,-0.234,4.55,3.8,-84.5,False,1.4788
NGC6503,-0.23,13.6,4.2,-3626.4,False,1.2759
UGC06983,-0.228,9.92,4.2,-42.9,False,0.9666
NGC4183,-0.225,10.89,4.2,-53.7,False,1.2196
NGC0247,-0.225,5.92,4.2,-18.7,False,0.9681
NGC2403,-0.22,17.99,4.4,-15590.7,False,0.9676
NGC3769,-0.208,7.84,4.6,-105.0,False,1.1445
F568-V1,-0.206,6.58,4.6,-18.2,False,0.6057
NGC4559,-0.204,8.78,4.6,-195.9,False,0.6528
UGC07399,-0.196,8.13,4.8,-39.4,False,0.9434
F563-V2,-0.193,8.06,4.8,-6.0,False,0.8308
UGC06628,-0.193,6.01,-20.0,-1.2,True,1.1626
UGC06667,-0.19,8.83,5.0,-190.0,False,0.857
NGC6015,-0.179,17.52,5.4,-1254.6,False,0.7309
UGC07151,-0.179,6.97,5.2,-8.1,False,1.4504
UGC07524,-0.175,6.33,5.4,-25.3,False,1.0276
UGC06923,-0.171,8.84,5.6,-4.2,False,1.1009
F563-1,-0.168,5.36,5.6,-84.9,False,0.7278
UGC04325,-0.164,13.94,5.8,-1.5,False,0.9479
UGC07261,-0.145,9.65,6.6,-6.6,False,1.1117
UGC10310,-0.138,8.93,7.0,-1.6,False,0.7963
