name,dR1,sinner,Areq,Areq_pred_physical,Areq_pred_oracle,mouter,c200_lcdm_ratio,dchi2_physical,dchi2_oracle,sign_correct_physical
IC2574,-0.2265,0.1385,2.0117,1.2695,1.9057,0.7121,0.3676,-226.37,-156.05,1
NGC0055,-0.2234,0.3112,-1.1113,-0.6932,-1.1659,3.4524,0.8289,-125.05,-86.2,1
NGC0300,-0.2199,0.2205,-0.3696,-0.5277,-0.3931,-2.1363,1.2762,-41.6,-28.67,1
NGC0024,-0.2098,0.3747,-0.5454,-0.4895,-0.5023,0.7927,0.8249,-61.37,-42.31,1
DDO161,-0.1952,0.3231,0.4234,0.3391,0.3867,3.128,0.7363,-47.64,-32.84,1
NGC3741,-0.1882,0.1718,0.4966,0.4909,0.506,-1.5467,0.8649,-55.88,-38.52,1
NGC2366,-0.1878,0.3746,-0.3306,-0.3845,-0.3072,2.2839,1.1893,-37.2,-25.65,1
NGC0100,-0.1871,0.3639,-1.1298,-1.6445,-1.2031,-3.3096,0.8438,-127.13,-87.64,1
UGC05750,-0.1764,0.2011,1.8501,1.455,1.7799,-1.8153,0.6433,-208.18,-143.51,1
DDO064,-0.1686,0.1624,3.2752,4.6665,3.0419,-1.9087,1.1258,-368.54,-254.06,1
NGC4190,-0.1673,0.3162,0.1485,0.078,0.161,-5.9792,0.9103,-16.71,-11.52,1
NGC3274,-0.1619,0.1045,1.0981,1.1587,1.0246,2.4349,1.2624,-123.57,-85.18,1
NGC2976,-0.1554,0.128,0.8083,0.9166,0.7735,-2.347,0.8323,-90.96,-62.7,1
NGC4214,-0.1541,0.0529,0.0847,0.0513,0.0788,0.0625,0.3846,-9.53,-6.57,1
NGC5204,-0.1528,0.3569,1.4055,0.9,1.2974,2.4037,0.3389,-158.16,-109.03,1
DDO126,-0.1491,0.3093,1.9695,1.8102,1.7809,2.2327,1.299,-221.62,-152.78,1
UGC07577,-0.1486,0.325,0.5454,0.7996,0.4969,3.3269,1.3221,-61.37,-42.31,1
NGC4244,-0.1454,0.3545,-1.7568,-1.9255,-1.6424,-0.4924,0.7169,-197.68,-136.27,1
UGC07603,-0.1385,0.229,-0.0201,-0.0288,-0.0183,-2.1165,0.6521,-2.26,-1.56,1
NGC0891,-0.1335,0.2718,0.2924,0.3814,0.2978,-0.3986,1.2387,-32.91,-22.69,1
NGC2403,-0.1243,0.1045,1.6773,1.6226,1.7379,-8.4367,0.422,-188.74,-130.11,1
F583-1,-0.111,0.0947,1.7857,2.2942,1.7477,-7.2356,0.4895,-200.94,-138.52,1
UGC05005,-0.1072,0.3107,0.4793,-0.2482,0.4619,-6.6135,0.9786,13.01,-37.18,0
DDO168,-0.1018,0.2337,-0.4291,-0.2614,-0.4295,-4.9862,0.6485,-48.28,-33.29,1
NGC6503,-0.101,0.2704,0.1118,0.1486,0.1201,1.9989,0.7724,-12.58,-8.67,1
NGC0247,-0.0808,0.3483,1.4273,-1.851,1.5275,-4.5274,0.722,38.75,-110.72,0
NGC4395,-0.0764,0.2975,0.2051,-0.1503,0.1864,-1.8908,0.8813,5.57,-15.91,0
UGC02259,-0.0739,0.2659,1.166,1.2019,1.0917,6.4961,1.2216,-131.21,-90.45,1
NGC7793,-0.0591,0.2681,0.055,-0.0608,0.0521,-1.7813,0.8028,1.49,-4.27,0
NGC3621,-0.0587,0.1685,1.1806,1.6147,1.1214,3.6876,0.9788,-132.85,-91.58,1
IC4202,-0.0577,0.062,4.0,-4.4124,4.057,-4.6681,0.122,108.6,-310.29,0
UGC06930,-0.0258,0.2203,0.9694,-0.8846,0.9531,-1.0272,0.7585,26.32,-75.2,0
UGC07399,-0.0163,0.1337,0.8214,-0.718,0.7473,-4.7501,0.5059,22.3,-63.72,0
NGC4559,-0.0143,0.2093,-0.2004,-0.1855,-0.1953,-1.6952,0.3864,-22.55,-15.54,1
NGC2915,-0.0111,0.3828,0.3532,-0.4068,0.3548,4.2015,0.4947,9.59,-27.4,0
NGC4244b,0.0065,0.1412,-0.5275,0.7213,-0.4854,-8.6366,0.6677,14.32,-40.92,0
UGC05716,0.018,0.0727,2.5917,-2.4722,2.7646,2.1721,1.0653,70.37,-201.05,0
NGC5907,0.0185,0.1597,-0.3242,-0.2424,-0.2951,1.1887,0.3522,-36.48,-25.15,1
